A,B,Weight
Right Atrium,Right Ventricle,
Right Ventricle,Pulmonary Artery,
Pulmonary Artery,Pulmonary Arterioles,
Pulmonary Arterioles,Pulmonary Capillaries,
Pulmonary Cappilaries,Pulmonary Venules,
Pulmonary Venules,Pulmonary Veins,
Pulmonary Veins,Left Atrium,
Left Atrium,Left Ventricle,
Left Ventricle,Aorta,
Aorta,R Brachiocephalic Artery,
Aorta,L Common Carotid Artery,
Aorta,L Subclavian Artery,
R Brachiocephalic Artery,R Subclavian Artery,
R Subclavian Artery,R Axillary Artery,
R Axillary Artery,R Brachial Artery,
R Brachial Artery,R Cephalic Vein,
R Brachial Artery,R Brachial Vein,
R Brachial Artery,R Basilic Vein,
R Basilic Vein,R Axillary Vein,
R Brachial Vein,R Axillary Vein,
R Cephalic Vein,R Subclavian Vein,
R Axillary Vein,R Subclavian Vein,
R Subclavian Vein,R Brachiocephalic Vein,
R Brachiocephalic Vein,Superior Vena Cava,
L Subclavian Artery,L Axillary Artery,
L Axillary Artery,L Brachial Artery,
L Brachial Artery,L Cephalic Vein,
L Brachial Artery,L Brachial Vein,
L Brachial Artery,L Basilic Vein,
L Basilic Vein,L Axillary Vein,
L Brachial Vein,L Axillary Vein,
L Cephalic Vein,L Subclavian Vein,
L Axillary Vein,L Subclavian Vein,
L Subclavian Vein,L Brachiocephalic Vein,
L Brachiocephalic Vein,Superior Vena Cava,
R Brachiocephalic Artery,R Common Carotid Artery,
R Subclavian Artery,R Vertebral Artery,
R Sublcavian Artery,R Internal Thoracic Artery,
R Subclavian Artery,R Thyrocervical Trunk,
R Subclavian Artery,R Costocervical Trunk,
R Sublcavian Artery,R Dorsal Scapular Artery,
R Internal Thoracic Artery,Azygous Vein,
R Thyrocervical Trunk,R Inferior Thyroid Artery,
R Thyrocervical Trunk,R Suprascapular Artery,
R Thyrocervical Trunk,R Transverse Cervical Artery,
